date,count,universe,pct
2026-04-29,190,1940,9.79
2026-04-30,212,1942,10.92
2026-05-04,287,1950,14.72
2026-05-05,276,1944,14.2
2026-05-06,306,1952,15.68
2026-05-07,298,1950,15.28
2026-05-08,237,1949,12.16
2026-05-11,262,1955,13.4
2026-05-12,264,1957,13.49
2026-05-13,221,1940,11.39
2026-05-14,226,1953,11.57
2026-05-15,198,1953,10.14
2026-05-18,181,1949,9.29
2026-05-19,144,1944,7.41
2026-05-20,143,1942,7.36
2026-05-21,170,1954,8.7
2026-05-22,196,1961,9.99
2026-05-25,270,1960,13.78
2026-05-26,264,1957,13.49
2026-05-27,275,1958,14.04
2026-05-28,247,1962,12.59
2026-05-29,264,1963,13.45
2026-06-01,277,1961,14.13
2026-06-02,249,1959,12.71
2026-06-03,249,1963,12.68
2026-06-04,235,1955,12.02
2026-06-05,195,1957,9.96
2026-06-08,157,1953,8.04
2026-06-09,167,1953,8.55
2026-06-10,132,1955,6.75
2026-06-11,126,1959,6.43
2026-06-12,147,1953,7.53
2026-06-15,174,1958,8.89
2026-06-16,162,1959,8.27
2026-06-17,171,1954,8.75
2026-06-18,184,1955,9.41
2026-06-22,170,1963,8.66
2026-06-23,139,1955,7.11
2026-06-24,131,1954,6.7
2026-06-25,126,1954,6.45
2026-06-26,100,1955,5.12
2026-06-29,103,1952,5.28
2026-06-30,111,1956,5.67
2026-07-01,89,1957,4.55
2026-07-02,103,1949,5.28
2026-07-03,109,1962,5.56
2026-07-06,124,1962,6.32
2026-07-07,95,1959,4.85
2026-07-08,115,1955,5.88
2026-07-09,93,1955,4.76
2026-07-13,100,1956,5.11
2026-07-14,88,1953,4.51
2026-07-15,77,1954,3.94
2026-07-16,61,1951,3.13
2026-07-17,46,1957,2.35
2026-07-20,32,1955,1.64
2026-07-21,39,1951,2.0
2026-07-22,35,1957,1.79
2026-07-23,35,1946,1.8
2026-07-24,26,1946,1.34
2026-07-27,22,1936,1.14
2026-07-28,16,1947,0.82
2026-07-29,9,1958,0.46
2026-07-30,5,1945,0.26
2026-07-31,8,1961,0.41
2026-08-03,4,1942,0.21
2026-08-04,5,1946,0.26
2026-08-05,11,1952,0.56
2026-08-06,14,1950,0.72
2026-08-07,12,1945,0.62
2026-08-10,25,1958,1.28
2026-08-11,19,1959,0.97
2026-08-12,42,1955,2.15
2026-08-13,35,1963,1.78
2026-08-14,38,1954,1.94
2026-08-17,88,1959,4.49
2026-08-18,87,1948,4.47
2026-08-19,67,1945,3.44
2026-08-20,55,1950,2.82
2026-08-21,53,1957,2.71
2026-08-24,74,1944,3.81
2026-08-25,81,1943,4.17
