date,code,market,prev_close,ref_price,kind,ratio
2023-01-04,2636,上市,76.3,71.12,息,0.9321100917431193
2023-01-05,6488,上櫃,443.0,436.5,除息,0.9853273137697517
2023-01-05,6763,上櫃,396.5,391.5,除息,0.987389659520807
2023-01-06,6411,上櫃,85.5,84.35,除權,0.9865497076023391
2023-01-11,2745,上櫃,40.15,38.8,除權,0.9663760896637609
2023-01-11,6629,上櫃,48.0,47.0,除息,0.9791666666666666
2023-01-12,5483,上櫃,161.5,158.3,除息,0.980185758513932
2023-01-17,00772B,上櫃,36.49,36.34,除息,0.9958892847355441
2023-01-17,00773B,上櫃,36.35,36.19,除息,0.9955983493810178
2023-01-17,00848B,上櫃,33.42,32.99,除息,0.9871334530221424
2023-01-17,00849B,上櫃,35.33,34.98,除息,0.9900934050382111
2023-01-17,00882,上市,12.85,12.55,息,0.9766536964980546
2023-01-17,00884B,上櫃,30.55,30.2,除息,0.9885433715220949
2023-01-17,00912,上市,14.36,14.16,息,0.9860724233983288
2023-01-30,0050,上市,118.1,115.5,息,0.9779847586790855
2023-01-30,006203,上市,57.0,55.77,息,0.978421052631579
2023-01-30,00687B,上櫃,33.8,33.42,除息,0.9887573964497043
2023-01-30,00701,上市,22.65,21.99,息,0.9708609271523179
2023-01-30,00702,上市,22.19,21.9,息,0.9869310500225326
2023-01-30,00714,上市,19.43,19.31,息,0.9938239835306227
2023-01-30,00722B,上櫃,38.62,38.14,除息,0.9875712066286899
2023-01-30,00723B,上櫃,34.36,33.97,除息,0.9886495925494762
2023-01-30,00724B,上櫃,34.12,33.69,除息,0.9873974208675264
2023-01-30,00725B,上櫃,37.12,36.71,除息,0.9889547413793104
2023-01-30,00726B,上櫃,33.81,33.28,除息,0.984324164448388
2023-01-30,00727B,上櫃,37.59,37.04,除息,0.9853684490555997
2023-01-30,00735,上市,25.83,25.51,息,0.9876113046844756
2023-01-30,00736,上市,20.37,20.18,息,0.9906725576828669
2023-01-30,00744B,上櫃,43.79,43.13,除息,0.9849280657684404
2023-01-30,00749B,上櫃,31.68,31.21,除息,0.9851641414141414
2023-01-30,00750B,上櫃,35.54,35.12,除息,0.988182329769274
2023-01-30,00761B,上櫃,37.83,37.47,除息,0.9904837430610627
2023-01-30,00770,上市,30.01,27.21,息,0.906697767410863
2023-01-30,00782B,上櫃,34.28,33.77,除息,0.9851225204200701
2023-01-30,00830,上市,24.6,24.48,息,0.9951219512195122
2023-01-30,00858,上櫃,26.37,25.24,除息,0.9571482745544178
2023-01-30,00881,上市,14.41,14.06,息,0.9757113115891742
2023-01-30,00888,上櫃,13.12,12.91,除息,0.9839939024390245
2023-01-30,2243,上市,15.4,14.97,權,0.9720779220779221
2023-01-30,2731,上市,104.5,102.35,權,0.9794258373205741
2023-01-30,6613,上櫃,90.3,88.3,除息,0.9778516057585825
2023-01-31,00694B,上櫃,38.0,37.82,除息,0.9952631578947368
2023-01-31,00695B,上櫃,34.46,34.36,除息,0.9970980847359256
2023-01-31,00696B,上櫃,34.18,33.93,除息,0.9926857811585723
2023-01-31,00717,上市,15.38,15.22,息,0.9895968790637191
2023-01-31,00719B,上櫃,30.55,30.22,除息,0.9891980360065465
2023-01-31,00720B,上櫃,35.86,35.37,除息,0.9863357501394311
2023-01-31,00740B,上櫃,39.84,39.33,除息,0.9871987951807227
2023-01-31,00741B,上櫃,36.7,36.1,除息,0.9836512261580381
2023-01-31,00746B,上櫃,37.27,36.9,除息,0.9900724443251944
2023-01-31,00784B,上櫃,36.31,35.8,除息,0.9859542825667859
2023-01-31,00785B,上櫃,35.41,35.05,除息,0.9898333804010166
2023-01-31,00788B,上櫃,33.13,32.67,除息,0.9861153033504376
2023-01-31,00789B,上櫃,53.5,52.95,除息,0.9897196261682244
