code,shares
1101,7523181742
1102,3546562881
1103,832874553
1104,686681816
1108,404738049
1109,341158868
1110,572000797
1201,506062914
1203,240000000
1210,894767222
1213,56622627
1215,294790098
1216,5682015421
1217,494513336
1218,499999038
1219,341238364
1220,177077944
1225,242268306
1227,915089591
1229,1795960668
1231,328299922
1232,159974915
1233,90591948
1234,401871094
1235,188577836
1236,86674008
1240,46443992
1256,35781378
1259,32389500
1264,37052367
1268,42223730
1294,36625875
1295,37599800
1301,6365740781
1303,7930821589
1304,1188763500
1305,581050494
1307,397818126
1308,593743919
1309,397586848
1310,527869764
1312,1506620328
1313,1330846107
1314,3784850130
1315,99099000
1316,401646150
1319,591477068
1321,227228268
1323,91274554
1324,75121882
1325,85281198
1326,5861186291
1336,77614419
1337,268954729
1338,83840000
1339,74123875
1340,152922855
1341,52850634
1342,78000902
1402,5352875227
1409,1618409286
1410,62000000
1413,132112454
1414,198000000
1416,185342168
1417,189941840
1418,56834309
1419,300041280
1423,99648000
1432,108000000
1434,1684664637
1435,139780080
1436,194151795
1437,201871284
1438,111205759
1439,92000000
1440,1656815857
1441,61744387
1442,366211358
1443,135343011
1444,995595059
1445,130666034
1446,137709513
1447,910071242
1449,127114572
1451,198000000
1452,132641400
1453,113243048
1454,129833848
1455,531688380
1456,93720000
1457,316730022
1459,268971680
1460,694643484
1463,173268381
1464,425575733
1465,103607267
1466,111157320
1467,233624667
1468,160405244
1470,85767000
1471,150414536
1472,52488082
1473,146153534
1474,129896969
1475,66016749
1476,274367111
1477,246693713
1503,520972223
1504,2376440684
1506,300388501
1512,98183498
1513,503112515
1514,278570642
1515,181473500
1516,40008195
1517,220000007
1519,347468929
1521,76230000
1522,312897881
1524,165310397
1525,73400135
1526,60000000
1527,138570640
1528,191331000
1529,155095074
1530,94594171
1531,182108080
1532,422604271
1533,98547486
1535,123742552
1536,278959513
1537,82062794
1538,32300000
1539,65370000
1540,85473612
1541,78800000
1558,64535631
1560,150289456
1563,225608140
1565,50416516
1568,103086559
1569,144247441
1570,51500839
1580,49339242
1582,144268604
1583,109400372
1584,232470533
1586,131849467
1587,80055672
1589,153135941
1590,199999998
1591,38048047
1593,39784772
1595,55554896
1597,89261804
1598,179142092
1599,73028764
1603,191688000
1604,384200000
1605,4431332948
