sample,ma,h,date,count,average,entry,exit,return_pct
長期重建,5,5,2023-12-05,127,134.0,2023-12-06,2023-12-12,0.6332457173305661
長期重建,5,5,2024-01-08,45,53.8,2024-01-09,2024-01-15,-0.21938653655874107
長期重建,5,5,2024-02-05,83,88.2,2024-02-15,2024-02-21,0.06354326004784916
長期重建,5,5,2024-03-21,90,97.0,2024-03-22,2024-03-28,-0.42264603802085743
長期重建,5,5,2024-04-23,156,158.6,2024-04-24,2024-04-30,3.1670482123329347
長期重建,5,5,2024-05-23,111,116.0,2024-05-24,2024-05-30,-0.3646467534127007
長期重建,5,5,2024-06-25,103,107.4,2024-06-26,2024-07-02,-0.2580806039783723
長期重建,5,5,2024-09-05,137,157.8,2024-09-06,2024-09-12,1.8715200101620866
長期重建,5,5,2024-10-08,91,94.2,2024-10-09,2024-10-16,1.6513106541144573
長期重建,5,5,2024-11-14,72,78.0,2024-11-15,2024-11-21,-0.9287520462632259
長期重建,5,5,2024-12-12,85,90.0,2024-12-13,2024-12-19,-0.30483815363373523
長期重建,5,5,2025-01-17,46,53.2,2025-01-20,2025-02-04,-1.7648653412614679
長期重建,5,5,2025-03-03,141,151.2,2025-03-04,2025-03-10,-0.22058039522319106
長期重建,5,5,2025-05-02,34,34.6,2025-05-05,2025-05-09,0.3647001013482365
長期重建,5,5,2025-06-02,63,68.0,2025-06-03,2025-06-09,3.141001670871457
長期重建,5,5,2025-07-07,53,60.2,2025-07-08,2025-07-14,1.0695555212921093
長期重建,5,5,2025-08-07,98,99.4,2025-08-08,2025-08-14,0.8800644284575609
長期重建,5,5,2025-09-09,142,155.8,2025-09-10,2025-09-16,2.3839046885536064
長期重建,5,5,2025-10-15,63,64.6,2025-10-16,2025-10-22,1.1397971710467525
長期重建,5,5,2025-11-17,93,95.2,2025-11-18,2025-11-24,-2.951842521530257
長期重建,5,5,2025-12-23,115,119.2,2025-12-24,2025-12-31,2.043397580505091
長期重建,5,5,2026-01-22,125,129.6,2026-01-23,2026-01-29,2.351459336111472
長期重建,5,5,2026-03-05,110,113.4,2026-03-06,2026-03-12,0.29243870345005973
長期重建,5,5,2026-04-14,167,167.4,2026-04-15,2026-04-21,3.398488442527192
長期重建,5,5,2026-05-15,172,176.6,2026-05-18,2026-05-22,2.8522365534986216
長期重建,5,5,2026-06-26,149,149.4,2026-06-29,2026-07-03,4.901489657653002
長期重建,5,5,2026-07-30,72,79.2,2026-07-31,2026-08-06,6.696136856137658
長期重建,5,10,2023-12-05,127,134.0,2023-12-06,2023-12-19,1.3593936157574982
長期重建,5,10,2024-01-08,45,53.8,2024-01-09,2024-01-22,1.3061971863022492
長期重建,5,10,2024-02-05,83,88.2,2024-02-15,2024-02-29,1.619763775519778
長期重建,5,10,2024-03-21,90,97.0,2024-03-22,2024-04-08,0.9175536252858052
長期重建,5,10,2024-04-23,156,158.6,2024-04-24,2024-05-08,4.704240569010532
長期重建,5,10,2024-05-23,111,116.0,2024-05-24,2024-06-06,2.1453951396910975
長期重建,5,10,2024-06-25,103,107.4,2024-06-26,2024-07-09,4.1916736745141625
長期重建,5,10,2024-09-05,137,157.8,2024-09-06,2024-09-20,4.252885730483236
長期重建,5,10,2024-10-08,91,94.2,2024-10-09,2024-10-23,3.081613116833948
長期重建,5,10,2024-11-14,72,78.0,2024-11-15,2024-11-28,-2.056519250796429
長期重建,5,10,2024-12-12,85,90.0,2024-12-13,2024-12-26,1.0632382663177786
長期重建,5,10,2025-01-17,46,53.2,2025-01-20,2025-02-11,0.778245667566102
長期重建,5,10,2025-03-03,141,151.2,2025-03-04,2025-03-17,-1.733410932613011
長期重建,5,10,2025-05-02,34,34.6,2025-05-05,2025-05-16,4.820999431835626
長期重建,5,10,2025-06-02,63,68.0,2025-06-03,2025-06-16,4.3698258601674755
長期重建,5,10,2025-07-07,53,60.2,2025-07-08,2025-07-21,4.312321653225726
長期重建,5,10,2025-08-07,98,99.4,2025-08-08,2025-08-21,-0.2685351474300379
長期重建,5,10,2025-09-09,142,155.8,2025-09-10,2025-09-23,4.851579203032164
長期重建,5,10,2025-10-15,63,64.6,2025-10-16,2025-10-30,3.4758710802668347
長期重建,5,10,2025-11-17,93,95.2,2025-11-18,2025-12-01,0.11764748960101379
長期重建,5,10,2025-12-23,115,119.2,2025-12-24,2026-01-08,6.965075971661094
長期重建,5,10,2026-01-22,125,129.6,2026-01-23,2026-02-05,0.0393220624767876
長期重建,5,10,2026-03-05,110,113.4,2026-03-06,2026-03-19,0.614443819932764
長期重建,5,10,2026-04-14,167,167.4,2026-04-15,2026-04-28,8.668400189061543
長期重建,5,10,2026-05-15,172,176.6,2026-05-18,2026-05-29,8.850340496916731
長期重建,5,10,2026-06-26,149,149.4,2026-06-29,2026-07-13,1.7618866410687772
長期重建,5,10,2026-07-30,72,79.2,2026-07-31,2026-08-13,10.60088088533615
長期重建,5,20,2023-12-05,127,134.0,2023-12-06,2024-01-03,1.2599750184824066
長期重建,5,20,2024-01-08,45,53.8,2024-01-09,2024-02-05,2.903943043661217
長期重建,5,20,2024-02-05,83,88.2,2024-02-15,2024-03-14,6.822970942085083
長期重建,5,20,2024-03-21,90,97.0,2024-03-22,2024-04-22,-4.057125176576182
長期重建,5,20,2024-04-23,156,158.6,2024-04-24,2024-05-22,9.01026076277438
長期重建,5,20,2024-05-23,111,116.0,2024-05-24,2024-06-21,8.444470767866141
長期重建,5,20,2024-06-25,103,107.4,2024-06-26,2024-07-23,-0.29090741053169333
長期重建,5,20,2024-09-05,137,157.8,2024-09-06,2024-10-08,6.379258025588719
