rule,exit,reenter,market_return_pct
price,2024-01-08,2024-01-22,1.3473993014921248
price,2024-04-19,2024-04-30,2.583125500823824
price,2024-07-23,2024-08-19,-0.7813544454191024
price,2024-09-09,2024-09-18,3.245627445532695
price,2024-11-04,2024-11-06,1.1986857671772766
price,2024-11-15,2024-12-04,1.5767042896529304
price,2025-01-06,2025-01-07,2.995574488615027
price,2025-01-14,2025-01-20,2.788655601409773
price,2025-03-05,2025-04-28,-12.321907242065677
price,2025-09-04,2025-09-05,0.03709469710879709
price,2025-11-19,2025-11-28,3.2118878490116076
price,2025-12-19,2025-12-22,1.0869133351682159
price,2026-03-24,2026-04-08,0.9575992903221753
price,2026-07-13,2026-08-06,-2.224995340692104
price,2026-09-17,2026-09-18,1.1177481070991702
breadth,2023-11-06,2023-11-07,0.46812321089799713
breadth,2023-11-14,2023-11-16,1.4924913471037415
breadth,2024-01-19,2024-01-25,1.9851241073011394
breadth,2024-02-02,2024-02-19,3.023309382866124
breadth,2024-04-24,2024-04-25,1.1761992386621234
breadth,2024-07-29,2024-09-30,1.4449829916353796
breadth,2024-10-07,2024-10-08,0.9434482660445775
breadth,2024-10-14,2024-10-22,2.0951902008600642
breadth,2024-10-29,2025-02-14,0.6505426612201548
breadth,2025-04-01,2025-06-27,7.753681792216538
breadth,2025-07-10,2025-07-18,3.4529486393775732
breadth,2025-07-23,2025-08-05,1.8853542621545705
breadth,2025-10-08,2026-01-13,13.448385952202656
breadth,2026-02-10,2026-02-24,4.873656392119408
breadth,2026-03-06,2026-04-17,10.935750093925623
breadth,2026-04-28,2026-05-06,3.6707289525201636
breadth,2026-05-18,2026-05-25,3.8253282207290296
breadth,2026-07-21,尚未恢復,12.821385051729116
volatility,2024-04-22,2024-04-30,5.3530075350192385
volatility,2024-07-29,2024-08-19,0.07822100525192166
volatility,2025-04-08,2025-04-28,4.7606883380445275
volatility,2026-03-10,2026-03-12,3.4374381545296373
volatility,2026-04-01,2026-04-08,4.663096111196641
combined,2024-01-19,2024-01-22,1.278145910497308
combined,2024-04-22,2024-04-30,5.3530075350192385
combined,2024-07-29,2024-08-19,0.07822100525192166
combined,2024-09-09,2024-09-18,3.245627445532695
combined,2024-11-04,2024-11-06,1.1986857671772766
combined,2024-11-15,2024-12-04,1.5767042896529304
combined,2025-01-06,2025-01-07,2.995574488615027
combined,2025-01-14,2025-01-20,2.788655601409773
combined,2025-04-01,2025-04-28,-4.36907126949948
combined,2025-11-19,2025-11-28,3.2118878490116076
combined,2025-12-19,2025-12-22,1.0869133351682159
combined,2026-03-10,2026-03-12,3.4374381545296373
combined,2026-03-24,2026-04-08,0.9575992903221753
combined,2026-07-21,2026-08-06,4.512916482349105
combined,2026-09-17,2026-09-18,1.1177481070991702
