rule,fee,total,mdd,exposure
buyhold,0.0,189.78383544847625,-28.693158639001272,100.0
buyhold,0.002,188.62701375007913,-28.69315863900126,100.0
price,0.0,173.7265014754112,-16.89283986297726,81.05413105413105
price,0.002,156.7568049780237,-18.863669776031355,81.05413105413105
breadth,0.0,39.55880913384817,-19.65067411988828,48.717948717948715
breadth,0.002,30.38426729172523,-21.782399252871,48.717948717948715
volatility,0.0,142.33601645825976,-21.896081163295534,94.30199430199431
volatility,0.002,136.58918225698437,-22.3634575079511,94.30199430199431
combined,0.0,119.34631010282462,-24.538054506090944,86.18233618233619
combined,0.002,105.74791794786877,-26.32758334128932,86.18233618233619
